ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6258,2020-03-07
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6259,2020-03-07
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6260,2020-03-07
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6261,2020-03-07
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6262,2020-03-07
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6263,2020-03-07
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6264,2020-03-07
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6265,2020-03-07
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6266,2020-03-07
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6267,2020-03-08
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6268,2020-03-08
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6269,2020-03-08
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6270,2020-03-08
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6271,2020-03-08
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6272,2020-03-08
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6273,2020-03-08
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6274,2020-03-08
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6275,2020-03-08
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6276,2020-03-08
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6277,2020-03-08
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6278,2020-03-08
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6279,2020-03-08
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6280,2020-03-08
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6281,2020-03-08
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6282,2020-03-08
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6283,2020-03-08
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6284,2020-03-08
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6285,2020-03-08
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6286,2020-03-08
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6287,2020-03-08
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6288,2020-03-08
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6289,2020-03-08
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6290,2020-03-08
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6291,2020-03-08
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6292,2020-03-08
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6293,2020-03-09
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6294,2020-03-09
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6295,2020-03-09
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6296,2020-03-09
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6297,2020-03-09
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6298,2020-03-09
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6299,2020-03-09
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6300,2020-03-09
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6301,2020-03-09
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6302,2020-03-09
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6303,2020-03-09
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6304,2020-03-09
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6305,2020-03-09
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6306,2020-03-09
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6307,2020-03-09
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6308,2020-03-09
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6309,2020-03-09
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6310,2020-03-09
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6311,2020-03-09
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6312,2020-03-09
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6313,2020-03-09
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6314,2020-03-09
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6315,2020-03-09
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6316,2020-03-09
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6317,2020-03-09
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6318,2020-03-09
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6319,2020-03-10
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6320,2020-03-10
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6321,2020-03-10
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6322,2020-03-10
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6323,2020-03-10
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6324,2020-03-10
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6325,2020-03-10
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6326,2020-03-10
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6327,2020-03-10
